Poradi;Prijmeni;Jmeno;Reg. c.;Body;Rank.c;Minule Ran
1;Králová;Denisa;PHK9150;30789;9842;2
2;Peterová;Jana;LPU0057;30678;9806;1
3;Pekařová;Jana;TUR0252;30498;9749;5
4;Dittrichová;Lucie;SKM0551;29488;9426;12
5;Karlová;Anna;KAM0360;29173;9325;4
6;Semíková;Lucie;KAM0250;28821;9213;6
7;Kosová;Tereza;PHK0151;28815;9211;10
8;Smolková;Barbora;TAP0356;28639;9155;8
9;Čechová;Tereza;KAM9852;28591;9139;17
10;Škáchová;Viktorie;DKP0655;28241;9027;131
11;Korpasová;Tereza;TBM9898;28144;8996;18
12;Bogarová;Adélka;PGP9056;28108;8985;32
13;Kaiser;Markéta;ZBM9456;28042;8964;16
14;Krejčová;Lucie;PGP0455;27502;8791;140
15;Opálková;Martina;TBM0056;27360;8746;152
16;Poloprutská;Markéta;VLI9251;27289;8723;133
17;Chaloupská;Barbora;PHK9951;27286;8722;21
18;Kavánková;Iva;TZL9753;27284;8721;27
19;Fenclová;Marta;LPU7667;27230;8704;34
20;Tomanová;Eliška;ZBM0658;27111;8666;146
21;Dittrichová;Michaela;SKM0251;27038;8643;19
22;Sokolářová;Šárka;TUR9999;27008;8633;30
23;Kettner;Karolína;SHK9251;26802;8567;25
24;Zlámalová;Nikola;SJC9951;26552;8487;13
25;Šimůnková;Gabriela;TAP9755;26310;8410;48
26;Martanová;Lea;TUR0555;26208;8377;40
27;Hájková;Eliška;KAM9851;26038;8323;72
28;Smutná;Anna Marie;DKP0359;26008;8314;38
29;Plochová;Dominika;DKP8651;25982;8305;35
30;Hiklová;Natalia;ZBM8350;25926;8287;26
31;Šístková;Iveta;LPU8654;25920;8285;39
32;Semrádová;Jana;CHC9951;25855;8265;43
33;Pospíšilová;Marie;DKP8756;25833;8258;150
34;Šestáková;Marie;VLI0452;25586;8179;164
35;Hiršová;Gabriela;ZBM9651;25577;8176;42
36;Barnatová;Klára;ZBM0352;25495;8150;37
37;Kodejšová;Markéta;VSP0458;25493;8149;53
38;Thýnová;Nikola;SHK0051;25400;8119;57
39;Matyášová;Kristýna;CHA0555;25381;8113;50
40;Bednaříková;Emma;PBM0359;25234;8066;44
41;Jeřábková;Jitka;TZL9453;25200;8055;46
42;Malečková;Hana;VSP0553;25122;8030;60
43;Housková;Barbora;DOR0655;25061;8011;260
44;Slavíková;Silvie;PGP9751;24993;7989;55
45;Jedličková;Zuzana;SHK8150;24771;7918;167
46;Horčičková;Kamila;TBM0050;24682;7890;56
47;Sanna;Karin;DKP0250;24514;7836;59
48;Hanušová;Kateřina;LPU0459;24385;7795;58
49;Bídová;Markéta;PBM0352;24361;7787;47
50;Plachá;Zita;SJI0550;24294;7766;84
51;Baldrianová;Barbora;VSP7850;24141;7717;61
52;Ježková;Barbora;CHA8850;23983;7666;66
53;Martanová;Elin;TUR0253;23905;7641;63
54;Novotná;Barbora;TUR0552;23789;7604;77
55;Bruková;Petra;TRI0450;23763;7596;51
56;Nováková;Zuzana;NPA9151;23754;7593;68
57;Janoušková;Lucie;BOR9954;23687;7572;54
58;Kolínová;Kristýna;DKP8450;23640;7557;71
59;Kašková;Kateřina;CHA7850;23500;7512;94
60;Bochenková;Martina;DKP8758;23353;7465;171
61;Mimrová;Kateřina;CHC0658;23313;7452;280
62;Janovská;Kateřina;PGP9850;23295;7446;83
63;Lipenská;Barbora;CHA0753;23279;7441;180
64;Surkova;Polina;PGP0157;23243;7430;200
65;Koubová;Hana;DKP0558;23233;7427;87
66;Voltrová;Alena;DKP9956;23137;7396;76
67;Linková;Alena;TUR9751;22964;7341;75
68;Nevěřilová;Kateřina;LCE0254;22898;7319;182
69;Škáchová;Magdalena;DKP0156;22842;7302;81
70;Tichá;Dorotea;DKP0351;22824;7296;82
71;Matějů;Martina;PGP8556;22715;7261;277
72;Zimmerová;Kateřina;KAM9850;22602;7225;79
73;Čápová;Eliška;SJI0451;22478;7185;85
74;Rollier;Monika;PHK8051;22443;7174;69
75;Krejčová;Hana;PGP0663;22414;7165;197
76;Tomášková;Linda;TAP0455;22389;7157;73
77;Mádlová;Věra;PBM8951;22386;7156;178
78;Thořová;Markéta;TUR9952;22372;7151;64
79;Kubáková;Nela;LPU0458;22169;7086;93
80;Dlabajová;Alena;TUR8551;22149;7080;189
81;Nováková;Světlana;NPA0151;22104;7066;104
82;Studničná;Lenka;FSP8650;21999;7032;96
83;Korpasová;Lucie;TBM0151;21825;6976;89
84;Kroniková;Štěpánka;SHK0150;21780;6962;293
85;Švecová;Karolína;ZVO0557;21608;6907;88
86;Kalousková;Marie;DKP0151;21535;6884;116
87;Hájková;Kateřina;KAM9488;21533;6883;95
88;Bartalošová;Jana;PGP8154;21389;6837;101
89;Kožinová;Anna;PGP9350;21321;6815;90
90;Hrabánková;Zuzana;PGP9950;21206;6779;105
91;Měšťanová;Tereza;TAP0653;21146;6759;191
92;Balcarová;Jana;PHK8753;21140;6757;100
93;Petráčková;Kristýna;SJI9851;20989;6709;121
94;Kosobudová;Kateřina;TAP0258;20912;6685;91
95;Chvalová;Věra;LPM9452;20896;6679;92
96;Koubová;Lenka;ROU9554;20788;6645;126
97;Bořilová;Klára;OSN8964;20731;6627;99
98;Biersaková;Dagmar;KRL0051;20617;6590;196
99;Karbusová;Kateřina;KRE0055;20613;6589;103
100;Sklenářová;Radka;LCE9250;20575;6577;107
101;Pangrácová;Marie;DKP9053;20533;6563;114
102;Voltrová;Hana;ROZ9752;20505;6555;110
103;Počtová;Klára;OPI0453;20472;6544;111
104;Hendrychová;Zuzana;NPA8954;20390;6518;97
105;Pračková;Ema;TAP0458;20333;6500;145
106;Švecová;Anežka;ZVO0352;20271;6480;108
107;Lošťáková;Sára;PGP0660;20125;6433;351
108;Chrástová;Tereza;STH0251;20045;6407;109
109;Gregorová;Kamila;DKP8155;20028;9603;247
110;Arnoštová;Veronika;PGP0456;20002;6394;149
111;Pinkavová;Hana;JPV0551;19932;6371;341
112;Košárková;Iva;PGP8155;19752;6314;115
113;Baierová;Hana;TUR8989;19667;6287;120
114;Šklíbová;Michaela;TJN0153;19568;6255;117
115;Horáková;Veronika;PHK0353;19484;6228;132
116;Fořtová;Johana;PGP9354;19471;6224;210
117;Matoušová;Kateřina;VRL9955;19437;6213;213
118;Nováková;Eliška;PDY0150;19432;6212;118
119;Čudková;Kristýna;MOV0654;19413;6205;337
120;Janečková;Adéla;PLU0452;19312;6173;119
121;Nedasová;Zuzana;KPY8650;19278;6162;127
122;Miklušová;Tamara;TBM0258;19262;9236;20
123;Šimková;Johanka;ZBM9350;19196;9204;14
124;Hošková;Tereza;TAP8971;19157;6124;122
125;Collis;Blanka;DKP8257;19130;6115;153
126;Novotná;Michaela;TUR0551;19107;9161;9
127;Jelínková;Adéla;LPU0254;19090;6102;128
128;Argalášová;Kateřina;TRI9750;19065;6094;123
129;Štěpová;Kateřina;PGP0657;19024;9122;125
130;Hrabánková;Klára;PGP9654;18973;6065;130
131;Janečková;Josefína;EKP0351;18784;6004;112
132;Mulíčková;Markéta;TBM0362;18736;8984;23
133;Nieke;Patricia;TUR9552;18726;8979;28
134;Vandělíková;Marie;ALB9050;18714;5982;156
135;Holečková;Petra;SHK0250;18215;8734;31
136;Riby;Rose;DOK0052;18199;5817;135
