Poradi;Prijmeni;Jmeno;Reg. c.;Body;Rank.c;Minule Ran
1;Nykodým;Miloš;ZBM9005;81705;9821;1
2;Roudný;Martin;LPU0002;80771;9709;3
3;Glonek;Jakub;KAM9602;80456;9671;4
4;Král;Vojtěch;SSU8841;79327;9536;5
5;Vandas;Daniel;PHK9805;78056;9383;6
6;Bolehovský;Daniel;PGP0509;77361;9299;7
7;Coufal;Jáchym;ZBM0200;77262;9287;8
8;Kubelka;Tomáš;LPU9307;77179;9277;9
9;Chaloupský;Jakub;PHK0302;76884;9242;12
10;Strýček;Jan;PBM0503;76725;9223;10
11;Metelka;Ondřej;PHK0101;76275;9169;11
12;Hájek;Kryštof;TUR0212;75317;9054;13
13;Janovský;Tomáš;PGP0101;74041;8900;14
14;Malačka;Milan;DKP0210;73733;8863;23
15;Kozák;Osvald;TBM8201;73558;8842;22
16;Škvor;Ota;KAM9900;73546;8841;19
17;Čech;Vít;KAM0311;72718;8741;17
18;Prášil;Marek;SJI7313;72675;8736;24
19;Bednařík;Vilém;PBM0509;72619;8729;21
20;Horvát;Petr;TBM9437;72399;8703;20
21;Donda;Jiří;ONO0403;72380;8701;28
22;Richtr;Lukáš;VPM0204;72229;8682;18
23;Švadlena;Michal;CHC0101;71637;8611;39
24;Tokár;Radim;VPM0300;71547;8600;35
25;Pekárek;Tobias;TZL0502;71489;8593;41
26;Heczko;Robert;VLI7801;71427;8586;29
27;Procházka;David;LPU9113;71407;8584;26
28;Petržela;Jan;PHK9200;71359;8578;49
29;Kamenický;Matěj;LPU9036;71317;8573;32
30;Lima;Tomas;KAM0114;71299;8571;25
31;Průša;Dominik;PGP0402;71298;8570;38
32;Tkáč;Matěj;JJN0401;71249;8565;43
33;Kubát;Pavel;CHA9101;71186;8557;31
34;Poklop;Martin;SSU8802;71006;8535;27
35;Zřídkaveselý;Adam;PBM0505;70933;8527;34
36;Rollier;Baptiste;PHK8200;70862;8518;42
37;Dlabaja;Tomáš;TUR8303;70772;8507;50
38;Dohnálek;Tomáš;SHK0403;70763;8506;53
39;Gajda;Martin;KAM0405;70696;8498;52
40;Prášil;Tomáš;ZBM0515;70664;8494;36
41;Illner;Vojtěch;PGP9608;70528;8478;45
42;Adámek;Filip;TBM0101;70343;8456;40
43;Urbánek;Tomáš;ZBM0604;70094;8426;47
44;Kostka;Jiří;AOP0201;69650;8372;15
45;Mrázek;Jan;SJC8102;69587;8365;30
46;Stehlík;Šimon;VPM0500;69583;8364;65
47;Procházka;Jan;PGP8407;69520;8357;54
48;Udržal;Tomáš;LPU8002;69223;8321;56
49;Orany;Vojtěch;SJI0401;69217;8320;63
50;Sýkora;Vojtěch;LCE9801;69189;8317;46
51;Hirš;Otakar;ZBM9801;69028;8298;33
52;Chupek;Jakub;TUR9911;68809;8271;58
53;Kamenický;Jeroným;OSN9549;68637;8251;37
54;Němec;David;VPM0508;68462;8230;69
55;Jílek;Ondřej;KSU9908;68440;8227;48
56;Macek;Ondřej;LPU0209;68402;8222;64
57;Hanuš;Filip;VRL0604;68332;8214;59
58;Bukovác;Filip;PBM0501;68228;8201;61
