Poradi;Prijmeni;Jmeno;Reg. c.;Body;Rank.c;Minule Ran
1;Glonek;Jakub;KAM9602;31172;9895;2
2;Roudný;Martin;LPU0002;30441;9663;4
3;Hubáček;Jonáš;LCE9501;30198;9586;5
4;Král;Vojtěch;SSU8841;29350;9317;3
5;Coufal;Jáchym;ZBM0200;29065;9227;10
6;Kubelka;Tomáš;LPU9307;28812;9146;12
7;Chaloupský;Jakub;PHK0302;28362;9003;30
8;Janovský;Tomáš;PGP0101;28178;8945;11
9;Hájek;Kryštof;TUR0212;28071;8911;14
10;Vandas;Daniel;PHK9805;28067;8910;6
11;Urbánek;Tomáš;ZBM0604;28016;8894;15
12;Bolehovský;Daniel;PGP0509;27834;8836;13
13;Škvor;Ota;KAM9900;27720;8800;38
14;Metelka;Ondřej;PHK0101;27618;8767;16
15;Zřídkaveselý;Adam;PBM0505;27335;8677;25
16;Malačka;Milan;DKP0210;27195;8633;36
17;Dohnálek;Tomáš;SHK0403;27054;8588;43
18;Roháč;Martin;LCE0308;26949;8555;29
19;Švadlena;Michal;CHC0101;26844;8522;39
20;Kamenický;Jeroným;OSN9549;26618;8450;20
21;Gajda;Martin;KAM0405;26604;8445;68
22;Tkáč;Matěj;JJN0401;26578;8437;220
23;Lima;Tomas;KAM0114;26545;8427;21
24;Čech;Vít;KAM0311;26544;8426;17
25;Sýkora;Vojtěch;LCE9801;26506;8414;28
26;Poklop;Martin;SSU8802;26496;8411;19
27;Hanuš;Filip;VRL0604;26486;8408;37
28;Adámek;Filip;TBM0101;26477;8405;24
29;Mrázek;Jan;SJC8102;26453;8397;23
30;Bednařík;Vilém;PBM0509;26418;8386;26
31;Průša;Dominik;PGP0402;26403;8382;51
32;Donda;Jiří;ONO0403;26370;8371;41
33;Kučera;Tomáš;ZBM0605;26362;8369;392
34;Richtr;Lukáš;VPM0204;26264;8337;18
35;Kostka;Jiří;AOP0201;26205;8319;9
36;Tokár;Radim;VPM0300;26184;8312;40
37;Orany;Vojtěch;SJI0401;26152;8302;58
38;Horvát;Petr;TBM9437;25963;8242;31
39;Melišík;Jan;TAP0502;25940;8235;47
40;Křivda;Martin;CHC9501;25852;8207;88
41;Pekárek;Tobias;TZL0502;25834;8201;218
42;Jílek;Ondřej;KSU9908;25810;8193;32
43;Zbranek;Roman;TZL8808;25749;8174;45
44;Kasza;Tomáš;PBM0512;25745;8173;228
45;Kubeček;Josef;SNA0402;25714;8163;55
46;Hovorka;Lukáš;LPU9001;25688;8155;42
47;Melišík;Martin;TAP0200;25597;8126;34
48;Hirš;Otakar;ZBM9801;25577;8119;27
49;Stehlík;Šimon;VPM0500;25560;8114;83
50;Beneš;Jindřich;SSU0400;25496;8094;93
51;Kamenický;Matěj;LPU9036;25436;8075;64
52;Bořil;Jan;TBM9700;25405;8065;60
53;Tichý;Radomír;SHK0000;25400;8063;66
54;Čihák;Jan;HOR0601;25382;8057;408
55;Macek;Ondřej;LPU0209;25227;8008;73
56;Sedláček;Jaroslav;DKP0309;25189;7996;56
57;Hledík;Jakub;CHT9501;25107;7970;57
58;Rollier;Baptiste;PHK8200;25086;7963;63
59;Illner;Vojtěch;PGP9608;25025;7944;67
60;Thoř;Tomáš;TUR9904;25015;7941;101
61;Prášil;Tomáš;ZBM0515;25010;7939;54
62;Horčička;Vít;TBM9919;24938;7917;48
63;Veselý;Václav;TUR0601;24877;7897;413
64;Vítek;Matěj;SJI0500;24869;7895;94
65;Valenta;Ondřej;JIL0401;24702;7842;75
66;Gebrt;Jan;SHK9801;24700;7841;70
67;Štorek;Jan;JPV0505;24687;7837;77
68;Zápotocký;Jiří;PGP0808;24568;7799;52
69;Kabát;Martin;PGP0408;24522;7784;61
70;Salaba;Dan;JIL0404;24494;7776;91
